session,eta_nom,acad_lib,acad_reg_lib,mention,parcours,alternance,modalite_enseignement,lieux_formation,disci_master,disci_lib,secteur_disci_lib,n_accept,n_accept_femme,uo_lib_actuel,diploma_needed
2023,Université Paris-Saclay,Versailles,Île-de-France,science politique,M1 Science politique #PR1110,False,"INITIALE,CONTINUE,HYBRIDE",GUYANCOURT - GUYANCOURT (78),Droit et sc. politiques,"Droit, sciences politiques",Sciences politiques,41,19,Université Paris-Saclay,Autre
2023,Université Paris-Saclay,Versailles,Île-de-France,"marketing, vente","M1 Marketing, vente - parcours Management de la Relation Client, Digital et Qualité #PR1091",True,"APPRENTISSAGE,CONTRAT_PRO",GUYANCOURT - GUYANCOURT,"Economie, gestion et A.E.S.","Sciences économiques, gestion",Sciences de gestion,15,13,Université Paris-Saclay,Autre
2023,Université Paris-Saclay,Versailles,Île-de-France,droit prive,M1 Droit privé #PR623,False,"INITIALE,HYBRIDE",SCEAUX - SCEAUX,Droit et sc. politiques,"Droit, sciences politiques",Sciences juridiques,84,64,Université Paris-Saclay,Autre
2023,Université Polytechnique Hauts-de-France,Lille,Hauts-de-France,gestion des territoires et developpement local,PATRIMOINE ET RESSOURCES TERRITORIALES,False,,UPHF - Institut Sociétés et Humanités  (ISH) - VALENCIENNES (59),S.H.S.,Sciences humaines et sociales,Aménagement,12,6,Université Polytechnique Hauts-de-France,Autre
2023,Université Paris-Saclay,Versailles,Île-de-France,ergonomie,M1 Ergonomie et facteurs humains #PR1045,False,"INITIALE,CONTINUE,HYBRIDE",Orsay - ORSAY (91),Sc. fondamentales et appliquées (dont S.T.A.P.S.),Sciences fondamentales et applications,Technologie et sciences industrielles,20,16,Université Paris-Saclay,Autre
2023,Université Paris-Saclay,Versailles,Île-de-France,communication des organisations,M1 Management et communication des organisations #PR1019,True,"APPRENTISSAGE,CONTRAT_PRO,CONTINUE",GUYANCOURT - GUYANCOURT (78),S.H.S.,Sciences humaines et sociales,Sciences de l'information et la communication,7,6,Université Paris-Saclay,Autre
2023,Université de Lille,Lille,Hauts-de-France,physique fondamentale et applications,Physique fondamentale - M1 Tronc commun,False,"INITIALE,CONTINUE,HYBRIDE",Université de Lille - VILLENEUVE D'ASCQ (59),Sc. fondamentales et appliquées (dont S.T.A.P.S.),Sciences fondamentales et applications,Physique,9,1,Université de Lille,Autre
2023,Université d'Artois,Lille,Hauts-de-France,toxicologie et eco-toxicologie,Unknown,False,"INITIALE,CONTINUE,HYBRIDE",Faculté des Sciences Jean Perrin - LENS (62),Sc. fondamentales et appliquées (dont S.T.A.P.S.),"Sciences de la vie, de la terre et de l'univers","Sciences de la vie, biologie, santé",14,10,Université d'Artois,Autre
2023,Université Paris-Saclay,Versailles,Île-de-France,economie politique et institutions,"M1 ACTivités sportives, Institutions et Organisations en lien avec la Nature #PR1145",False,"INITIALE,CONTINUE,HYBRIDE","GUYANCOURT - GUYANCOURT,GIF SUR YVETTE - GIF SUR YVETTE,ORSAY - ORSAY",Droit et sc. politiques,"Droit, sciences politiques",Sciences politiques,0,0,Université Paris-Saclay,Autre
2023,Université Paris-Saclay,Versailles,Île-de-France,economie politique et institutions,M1 Economie et évaluation du développement et de la soutenabilité #PR1146,False,"INITIALE,CONTINUE,HYBRIDE","GUYANCOURT - GUYANCOURT,GIF SUR YVETTE - GIF SUR YVETTE",Droit et sc. politiques,"Droit, sciences politiques",Sciences politiques,12,6,Université Paris-Saclay,Autre
2023,Université Paris-Saclay,Versailles,Île-de-France,droit de la propriete intellectuelle et du numerique,M1 Droit de la propriété intellectuelle et du numérique - Site Guyancourt #PR1143,False,"INITIALE,CONTINUE,HYBRIDE",Guyancourt - GUYANCOURT (78),Droit et sc. politiques,"Droit, sciences politiques",Sciences juridiques,17,11,Université Paris-Saclay,Autre
2023,Université Paris-Saclay,Versailles,Île-de-France,lettres et langues,"M1 Narration, Traduction et Nouveaux Médias #PR1165",False,"INITIALE,HYBRIDE",EVRY - EVRY,"Lettres, langues, art","Pluridisciplinaire lettres, langues, sciences humaines","Pluridisciplinaire lettres, langues, sciences humaines",9,6,Université Paris-Saclay,Autre
2023,Université Paris-Saclay,Versailles,Île-de-France,"culture, patrimoine et mediation",M1 Administration culturelle / Projets Culturels Internationaux #PR1138,False,"INITIALE,CONTINUE,HYBRIDE",Guyancourt - GUYANCOURT (78),S.H.S.,Sciences humaines et sociales,Sciences de l'information et la communication,9,8,Université Paris-Saclay,Autre
2023,Institut polytechnique de Paris,Versailles,Île-de-France,mecanique,M1 - Mechanics,False,"INITIALE,HYBRIDE","IP Paris - PALAISEAU,Institut Polytechnique de Paris - PALAISEAU CEDEX (91)",Sc. fondamentales et appliquées (dont S.T.A.P.S.),Sciences fondamentales et applications,"Mécanique, génie mécanique, ingénierie mécanique",2,0,Institut polytechnique de Paris,Autre
2023,Institut polytechnique de Paris,Versailles,Île-de-France,informatique,M1  - Cybersecurity,False,"INITIALE,HYBRIDE","IP Paris - PALAISEAU,Institut Polytechnique de Paris - PALAISEAU CEDEX (91)",Sc. fondamentales et appliquées (dont S.T.A.P.S.),Sciences fondamentales et applications,Informatique,0,0,Institut polytechnique de Paris,Technologies de l'Information
2023,Institut polytechnique de Paris,Versailles,Île-de-France,informatique,M1  - Computer Science for Networks,False,"INITIALE,HYBRIDE",IP Paris - PALAISEAU,Sc. fondamentales et appliquées (dont S.T.A.P.S.),Sciences fondamentales et applications,Informatique,5,3,Institut polytechnique de Paris,Technologies de l'Information
